Nitrofurantoin,35387174,23/06/2022
Famotidin,35716002,23/06/2022
Kafein,28134232,23/06/2022
Klorfeniramin,35459564,23/06/2022
Albendazol,35609395,24/06/2022
Kodein,28901724,24/06/2022
Klopidogrel,34392238,24/06/2022
Gabapentin,35605349,24/06/2022
Solifenasin,35738641,24/06/2022
Olanzapin,35363100,24/06/2022
Fluoksetin,31483315,24/06/2022
Pirasetam,35636581,24/06/2022
Donepezil,35484855,24/06/2022
Memantin,35587310,24/06/2022
Risperidon,34964707,24/06/2022
Furosemid,35509178,24/06/2022
Lansoprazol,35277113,24/06/2022
Azitromisin,34666650,24/06/2022
Tolterodin,35708534,24/06/2022
Siprofloksasin,33107284,30/06/2022
Parasetamol,24481579,30/06/2022
